type,hand_index,landmark_index,timestamp_iso,x_norm,y_norm,z_norm,visibility
pose,-1,0,2025-12-03T02:04:39.090671,0.5043667554855347,0.7014113068580627,-1.0570142269134521,0.9996762871742249
pose,-1,1,2025-12-03T02:04:39.090671,0.5258616209030151,0.6491304636001587,-1.0238072872161865,0.9990816712379456
pose,-1,2,2025-12-03T02:04:39.090671,0.5373213291168213,0.6478155255317688,-1.0240249633789062,0.999237060546875
pose,-1,3,2025-12-03T02:04:39.090671,0.550653874874115,0.6474598050117493,-1.0241930484771729,0.9989858865737915
pose,-1,4,2025-12-03T02:04:39.090671,0.48235583305358887,0.6519175171852112,-1.0220822095870972,0.9991635680198669
pose,-1,5,2025-12-03T02:04:39.090671,0.4671662449836731,0.6525804996490479,-1.021581768989563,0.9993113279342651
pose,-1,6,2025-12-03T02:04:39.090671,0.45424261689186096,0.6531850695610046,-1.0218875408172607,0.9992724061012268
pose,-1,7,2025-12-03T02:04:39.090671,0.5738208293914795,0.6609041094779968,-0.7002347707748413,0.9989973306655884
pose,-1,8,2025-12-03T02:04:39.090671,0.4415172040462494,0.6690420508384705,-0.6713486909866333,0.9994443655014038
pose,-1,9,2025-12-03T02:04:39.090671,0.5308319330215454,0.74631667137146,-0.9261448979377747,0.999626636505127
pose,-1,10,2025-12-03T02:04:39.090671,0.4774818420410156,0.7500158548355103,-0.9186874628067017,0.999731719493866
pose,-1,11,2025-12-03T02:04:39.090671,0.6931840181350708,0.8710240125656128,-0.446434885263443,0.9960029125213623
pose,-1,12,2025-12-03T02:04:39.090671,0.3505067527294159,0.9011430144309998,-0.42558446526527405,0.9979684948921204
pose,-1,13,2025-12-03T02:04:39.090671,0.7852480411529541,1.1430680751800537,-0.44396480917930603,0.09392300993204117
pose,-1,14,2025-12-03T02:04:39.090671,0.2631640136241913,1.2022385597229004,-0.3145795166492462,0.3893563747406006
pose,-1,15,2025-12-03T02:04:39.090671,0.7812381982803345,1.3981823921203613,-0.7972705364227295,0.0243990458548069
pose,-1,16,2025-12-03T02:04:39.090671,0.2913720905780792,1.4384329319000244,-0.645767092704773,0.0707278624176979
pose,-1,17,2025-12-03T02:04:39.090671,0.8072265386581421,1.4856675863265991,-0.9120281934738159,0.027272243052721024
pose,-1,18,2025-12-03T02:04:39.090671,0.2807711958885193,1.5243273973464966,-0.7507880926132202,0.06351185590028763
